"
","Average standard variable tariff (Large legacy suppliers)","Average standard variable tariff (Other suppliers)","Average fixed tariff","Cheapest tariff (Large legacy suppliers)","Cheapest tariff (All suppliers)","Cheapest tariff (Basket)","Default tariff cap level"
"2018-03-28 00:00:00",1134.95,1044.29,961.52,900.98,810.11,842.91,
"2018-04-28 00:00:00",1138.28,1061.81,979.54,1000.42,788.16,820.46,
"2018-05-28 00:00:00",1138.28,1060.56,1031.11,962.53,788.16,832.69,
"2018-06-28 00:00:00",1172.2,1066.39,1021.04,953.16,796.99,845.91,
"2018-07-28 00:00:00",1184.79,1075.35,1062.34,965.27,826.73,861.22,
"2018-08-28 00:00:00",1194,1091.02,1073.33,951.33,842.49,897.02,
"2018-09-28 00:00:00",1205.62,1104.91,1121.94,1043.21,920.6,982.09,
"2018-10-28 00:00:00",1220.65,1124.27,1132.95,1051.27,920.6,989.84,
"2018-11-28 00:00:00",1220.65,1140.97,1096.31,1030.12,946.13,993.8,
"2018-12-28 00:00:00",1220.65,1142.96,1085.81,1034.69,902.66,983.19,
"2019-01-28 00:00:00",1136.67,1099.49,1084.12,1035.63,941.26,992.85,1137.47
"2019-02-28 00:00:00",1136.67,1097.67,1091.27,1008.69,929.66,974.58,1137.47
"2019-03-28 00:00:00",1136.67,1094.87,1052.53,1011.22,891.94,945.99,1137.47
"2019-04-28 00:00:00",1253.94,1152.11,1052.86,1024.59,880.2,929.55,1254
"2019-05-28 00:00:00",1253.94,1153.58,1051.69,943.25,872.57,922.45,1254
"2019-06-28 00:00:00",1253.94,1148.88,1023.84,932.24,872.57,897.8,1254
"2019-07-28 00:00:00",1253.99,1142.74,1039.09,989.24,846.34,890.44,1254
"2019-08-28 00:00:00",1253.99,1144.2,1046.14,949.41,846.34,893.22,1254
"2019-09-28 00:00:00",1253.99,1144.19,1038.08,931.39,863.99,903.75,1254
"2019-10-28 00:00:00",1177.79,1099.89,1023.27,914.31,863.99,893.75,1179
"2019-11-28 00:00:00",1177.79,1099.8,984.82,890.08,846.04,873.39,1179
"2019-12-28 00:00:00",1177.79,1099.92,983.5,903.02,828.77,872.34,1179
"2020-01-28 00:00:00",1177.63,1094,943.74,872.49,813.7,840.52,1179
"2020-02-28 00:00:00",1177.47,1093.96,930.02,843.14,784.38,815.5,1179
"2020-03-28 00:00:00",1175.93,1079.21,902.26,835.3,781.99,805.09,1179
"2020-04-28 00:00:00",1125.05,1028.23,925.51,806.35,757.96,783.38,1127
"2020-05-28 00:00:00",1125.05,1049.68,895.54,807.72,764.1,790.88,1127
"2020-06-28 00:00:00",1125.05,1049.6,910.83,819.32,787.5,804.07,1127
"2020-07-28 00:00:00",1125.35,1049.68,922.05,851.44,787.5,812.48,1127
"2020-08-28 00:00:00",1125.05,1021.9,954.21,853.66,787.5,806.62,1127
"2020-09-28 00:00:00",1125.05,1015.55,964.94,853.66,797.64,837.26,1127
"2020-10-28 00:00:00",1041.93,995.49,953.29,853.66,822.68,854.39,1042
"2020-11-28 00:00:00",1042.01,993.72,940.67,853.66,821.39,843.93,1042
"2020-12-28 00:00:00",1042.01,998.24,973.67,911.53,851.12,885.31,1042
"2021-01-28 00:00:00",1041.98,999.31,1011.7,950.16,858.59,935.56,1042
"2021-02-28 00:00:00",1041.91,1004.74,1023.32,957.71,858.59,932.95,1042
"2021-03-28 00:00:00",1041.91,994.79,1040.2,998.11,858.59,913.93,1042
"2021-04-28 00:00:00",1137.93,1035.96,1075.41,998.11,858.59,920.82,1138
"2021-05-28 00:00:00",1137.92,1055.18,1125.11,1075.28,844.61,943.97,1138
"2021-06-28 00:00:00",1137.92,1078.33,1147.29,1091.64,844.61,968.44,1138
"2021-07-28 00:00:00",1137.92,1095.77,1214.05,1091.64,858.59,1015.26,1138
"2021-08-28 00:00:00",1137.93,1117.01,1275.53,1091.64,1032.21,1084.13,1138
"2021-09-28 00:00:00",1137.76,1118.41,1625.88,1135.69,1078.08,1106.17,1138
"2021-10-28 00:00:00",1277.05,1273.4,2096.47,1276.49,1213.48,1267.12,1277
"2021-11-28 00:00:00",1277.16,1275.59,1916.76,1276.49,1213.48,1267.91,1277
"2021-12-28 00:00:00",1277.16,1274.55,2373.81,1276.49,1213.48,1267.78,1277
"2022-01-28 00:00:00",1277.16,1274.19,2445.41,1276.49,1213.48,1267.81,1277
"2022-02-28 00:00:00",1277.16,1274.19,2717.01,1276.49,1213.48,1267.97,1277
"2022-03-28 00:00:00",1277.16,1273.79,3350.83,1276.49,1213.48,1267.97,1277
"2022-04-28 00:00:00",1970.36,1967.9,3025.87,1969.71,1872.01,1959.49,1971
"2022-05-28 00:00:00",1970.36,1967.9,3038.14,1969.71,1872.01,1959.49,1971
"2022-06-28 00:00:00",1970.36,1968.4,3062.02,1969.71,1872.01,1959.59,1971
"2022-07-28 00:00:00",1970.36,1968.36,3850.65,1969.71,1872.01,1959.65,1971
"2022-08-28 00:00:00",1970.36,1968.36,4244.21,1969.71,1872.01,1959.65,1971
"2022-09-28 00:00:00",1970.36,1968.36,4599.02,1969.71,1872.01,1959.65,1971
"2022-10-28 00:00:00",2499.63,2495.92,,2498.67,2374.77,2482.1,2500
"2022-11-28 00:00:00",2499.63,2495.52,,2498.67,2374.77,2482.1,2500
"2022-12-28 00:00:00",2499.75,2495.52,,2498.67,2374.77,2482.1,2500
"2023-01-28 00:00:00",2499.75,2495.52,,2496.15,2374.77,2481.6,2500
"2023-02-28 00:00:00",2499.75,2495.52,,2496.15,2374.77,2481.6,2500
"2023-03-28 00:00:00",2499.75,2495.52,,2496.15,2374.77,2481.59,2500
"2023-04-28 00:00:00",2498.69,2496.78,,2497.63,2449.79,2489.23,2500
"2023-05-28 00:00:00",2499.09,2496.78,,2497.63,2449.79,2490.32,2500
